name,parent,type,size
download.cpython-39.pyc,__pycache__,file,5446
lazy_wheel.cpython-39.pyc,__pycache__,file,8347
session.cpython-39.pyc,__pycache__,file,10717
utils.cpython-39.pyc,__pycache__,file,1393
xmlrpc.cpython-39.pyc,__pycache__,file,2014
__init__.cpython-39.pyc,__pycache__,file,215
check.py,operations,file,5109
freeze.py,operations,file,9770
prepare.py,operations,file,23838
__init__.py,operations,file,0
build,operations,directory,19614
install,operations,directory,58945
__pycache__,operations,directory,24858
metadata.py,build,file,1119
metadata_editable.py,build,file,1177
metadata_legacy.py,build,file,1945
wheel.py,build,file,1063
wheel_editable.py,build,file,1405
wheel_legacy.py,build,file,3047
__init__.py,build,file,0
__pycache__,build,directory,9858
metadata.cpython-39.pyc,__pycache__,file,1153
metadata_editable.cpython-39.pyc,__pycache__,file,1191
metadata_legacy.cpython-39.pyc,__pycache__,file,2121
wheel.cpython-39.pyc,__pycache__,file,1164
wheel_editable.cpython-39.pyc,__pycache__,file,1380
wheel_legacy.cpython-39.pyc,__pycache__,file,2680
__init__.cpython-39.pyc,__pycache__,file,169
editable_legacy.py,install,file,1298
legacy.py,install,file,4158
wheel.py,install,file,27412
__init__.py,install,file,51
__pycache__,install,directory,26026
editable_legacy.cpython-39.pyc,__pycache__,file,1405
legacy.cpython-39.pyc,__pycache__,file,3465
wheel.cpython-39.pyc,__pycache__,file,20929
__init__.cpython-39.pyc,__pycache__,file,227
check.cpython-39.pyc,__pycache__,file,3967
freeze.cpython-39.pyc,__pycache__,file,6109
prepare.cpython-39.pyc,__pycache__,file,14619
__init__.cpython-39.pyc,__pycache__,file,163
constructors.py,req,file,15285
req_file.py,req,file,17421
req_install.py,req,file,33804
req_set.py,req,file,7584
req_tracker.py,req,file,4117
req_uninstall.py,req,file,23748
__init__.py,req,file,2793
__pycache__,req,directory,78693
constructors.cpython-39.pyc,__pycache__,file,11280
req_file.cpython-39.pyc,__pycache__,file,13340
req_install.cpython-39.pyc,__pycache__,file,22719
req_set.cpython-39.pyc,__pycache__,file,5860
req_tracker.cpython-39.pyc,__pycache__,file,4220
req_uninstall.cpython-39.pyc,__pycache__,file,18752
__init__.cpython-39.pyc,__pycache__,file,2522
base.py,resolution,file,583
__init__.py,resolution,file,0
legacy,resolution,directory,30661
resolvelib,resolution,directory,156176
__pycache__,resolution,directory,1183
resolver.py,legacy,file,18312
__init__.py,legacy,file,0
__pycache__,legacy,directory,12349
resolver.cpython-39.pyc,__pycache__,file,12179
__init__.cpython-39.pyc,__pycache__,file,170
base.py,resolvelib,file,5220
candidates.py,resolvelib,file,18210
factory.py,resolvelib,file,26806
found_candidates.py,resolvelib,file,5705
provider.py,resolvelib,file,9205
reporter.py,resolvelib,file,2526
requirements.py,resolvelib,file,5455
resolver.py,resolvelib,file,9580
__init__.py,resolvelib,file,0
__pycache__,resolvelib,directory,73469
base.cpython-39.pyc,__pycache__,file,6571
candidates.cpython-39.pyc,__pycache__,file,18471
factory.cpython-39.pyc,__pycache__,file,18333
found_candidates.cpython-39.pyc,__pycache__,file,4805
provider.cpython-39.pyc,__pycache__,file,7076
reporter.cpython-39.pyc,__pycache__,file,3235
requirements.cpython-39.pyc,__pycache__,file,7544
resolver.cpython-39.pyc,__pycache__,file,7260
__init__.cpython-39.pyc,__pycache__,file,174
base.cpython-39.pyc,__pycache__,file,1020
__init__.cpython-39.pyc,__pycache__,file,163
appdirs.py,utils,file,1665
compat.py,utils,file,1884
compatibility_tags.py,utils,file,5377
datetime.py,utils,file,242
deprecation.py,utils,file,3627
direct_url_helpers.py,utils,file,3206
distutils_args.py,utils,file,1249
egg_link.py,utils,file,2203
encoding.py,utils,file,1169
entrypoints.py,utils,file,1055
filesystem.py,utils,file,5893
filetypes.py,utils,file,716
glibc.py,utils,file,3110
hashes.py,utils,file,4811
inject_securetransport.py,utils,file,795
logging.py,utils,file,11532
misc.py,utils,file,20432
models.py,utils,file,1193
packaging.py,utils,file,2952
parallel.py,utils,file,3196
pkg_resources.py,utils,file,987
setuptools_build.py,utils,file,4697
subprocess.py,utils,file,10058
temp_dir.py,utils,file,7662
unpacking.py,utils,file,8906
urls.py,utils,file,1759
virtualenv.py,utils,file,3459
wheel.py,utils,file,6163
_log.py,utils,file,1015
__init__.py,utils,file,0
__pycache__,utils,directory,108294
appdirs.cpython-39.pyc,__pycache__,file,1589
compat.cpython-39.pyc,__pycache__,file,1477
compatibility_tags.cpython-39.pyc,__pycache__,file,4029
datetime.cpython-39.pyc,__pycache__,file,477
deprecation.cpython-39.pyc,__pycache__,file,3215
direct_url_helpers.cpython-39.pyc,__pycache__,file,2048
distutils_args.cpython-39.pyc,__pycache__,file,1063
egg_link.cpython-39.pyc,__pycache__,file,2104
encoding.cpython-39.pyc,__pycache__,file,1267
entrypoints.cpython-39.pyc,__pycache__,file,1268
filesystem.cpython-39.pyc,__pycache__,file,5104
filetypes.cpython-39.pyc,__pycache__,file,908
glibc.cpython-39.pyc,__pycache__,file,1639
hashes.cpython-39.pyc,__pycache__,file,5153
inject_securetransport.cpython-39.pyc,__pycache__,file,947
logging.cpython-39.pyc,__pycache__,file,9253
misc.cpython-39.pyc,__pycache__,file,20900
models.cpython-39.pyc,__pycache__,file,2026
packaging.cpython-39.pyc,__pycache__,file,2602
parallel.cpython-39.pyc,__pycache__,file,3173
pkg_resources.cpython-39.pyc,__pycache__,file,1835
setuptools_build.cpython-39.pyc,__pycache__,file,3397
subprocess.cpython-39.pyc,__pycache__,file,6210
temp_dir.cpython-39.pyc,__pycache__,file,7225
unpacking.cpython-39.pyc,__pycache__,file,6689
urls.cpython-39.pyc,__pycache__,file,1562
virtualenv.cpython-39.pyc,__pycache__,file,3252
wheel.cpython-39.pyc,__pycache__,file,6241
_log.cpython-39.pyc,__pycache__,file,1483
__init__.cpython-39.pyc,__pycache__,file,158
bazaar.py,vcs,file,2857
git.py,vcs,file,17804
mercurial.py,vcs,file,4945
subversion.py,vcs,file,11596
versioncontrol.py,vcs,file,22414
__init__.py,vcs,file,596
__pycache__,vcs,directory,50013
