name,parent,type,size
__init__.cpython-39.pyc,__pycache__,file,100303
android.py,platformdirs,file,3994
api.py,platformdirs,file,4922
macos.py,platformdirs,file,2619
unix.py,platformdirs,file,6905
version.py,platformdirs,file,80
windows.py,platformdirs,file,6416
__init__.py,platformdirs,file,12859
__main__.py,platformdirs,file,1140
__pycache__,platformdirs,directory,38609
android.cpython-39.pyc,__pycache__,file,4292
api.cpython-39.pyc,__pycache__,file,5269
macos.cpython-39.pyc,__pycache__,file,3227
unix.cpython-39.pyc,__pycache__,file,7006
version.cpython-39.pyc,__pycache__,file,262
windows.cpython-39.pyc,__pycache__,file,6375
__init__.cpython-39.pyc,__pycache__,file,11041
__main__.cpython-39.pyc,__pycache__,file,1137
bar.py,progress,file,2942
colors.py,progress,file,2655
counter.py,progress,file,1613
spinner.py,progress,file,1461
__init__.py,progress,file,5294
__pycache__,progress,directory,12820
bar.cpython-39.pyc,__pycache__,file,2694
colors.cpython-39.pyc,__pycache__,file,1467
counter.cpython-39.pyc,__pycache__,file,1592
spinner.cpython-39.pyc,__pycache__,file,1418
__init__.cpython-39.pyc,__pycache__,file,5649
adapters.py,requests,file,21548
api.py,requests,file,6402
auth.py,requests,file,10207
certs.py,requests,file,465
compat.py,requests,file,2045
cookies.py,requests,file,18430
exceptions.py,requests,file,3250
help.py,requests,file,3972
hooks.py,requests,file,757
models.py,requests,file,34924
packages.py,requests,file,695
sessions.py,requests,file,30168
status_codes.py,requests,file,4188
structures.py,requests,file,3005
utils.py,requests,file,31394
_internal_utils.py,requests,file,1096
__init__.py,requests,file,5113
__version__.py,requests,file,441
__pycache__,requests,directory,144495
adapters.cpython-39.pyc,__pycache__,file,16940
api.cpython-39.pyc,__pycache__,file,6686
auth.cpython-39.pyc,__pycache__,file,8298
certs.cpython-39.pyc,__pycache__,file,600
compat.cpython-39.pyc,__pycache__,file,1579
cookies.cpython-39.pyc,__pycache__,file,18789
exceptions.cpython-39.pyc,__pycache__,file,5372
help.cpython-39.pyc,__pycache__,file,2860
hooks.cpython-39.pyc,__pycache__,file,957
models.cpython-39.pyc,__pycache__,file,24437
packages.cpython-39.pyc,__pycache__,file,469
sessions.cpython-39.pyc,__pycache__,file,19824
status_codes.cpython-39.pyc,__pycache__,file,4206
structures.cpython-39.pyc,__pycache__,file,4427
utils.cpython-39.pyc,__pycache__,file,23291
_internal_utils.cpython-39.pyc,__pycache__,file,1269
__init__.cpython-39.pyc,__pycache__,file,3969
__version__.cpython-39.pyc,__pycache__,file,522
providers.py,resolvelib,file,5872
reporters.py,resolvelib,file,1364
resolvers.py,resolvelib,file,17540
structs.py,resolvelib,file,4794
__init__.py,resolvelib,file,537
compat,resolvelib,directory,666
__pycache__,resolvelib,directory,31986
collections_abc.py,compat,file,156
__init__.py,compat,file,0
__pycache__,compat,directory,510
collections_abc.cpython-39.pyc,__pycache__,file,342
__init__.cpython-39.pyc,__pycache__,file,168
providers.cpython-39.pyc,__pycache__,file,6672
reporters.cpython-39.pyc,__pycache__,file,2269
resolvers.cpython-39.pyc,__pycache__,file,15226
structs.cpython-39.pyc,__pycache__,file,7246
__init__.cpython-39.pyc,__pycache__,file,573
after.py,tenacity,file,1496
before.py,tenacity,file,1376
before_sleep.py,tenacity,file,1908
nap.py,tenacity,file,1383
retry.py,tenacity,file,6645
stop.py,tenacity,file,2790
tornadoweb.py,tenacity,file,2145
wait.py,tenacity,file,6691
_asyncio.py,tenacity,file,3314
_utils.py,tenacity,file,1944
__init__.py,tenacity,file,18257
__pycache__,tenacity,directory,47355
after.cpython-39.pyc,__pycache__,file,1177
before.cpython-39.pyc,__pycache__,file,1065
before_sleep.cpython-39.pyc,__pycache__,file,1357
nap.cpython-39.pyc,__pycache__,file,1159
retry.cpython-39.pyc,__pycache__,file,8747
stop.cpython-39.pyc,__pycache__,file,4211
tornadoweb.cpython-39.pyc,__pycache__,file,1711
wait.cpython-39.pyc,__pycache__,file,7923
_asyncio.cpython-39.pyc,__pycache__,file,2561
_utils.cpython-39.pyc,__pycache__,file,1198
__init__.cpython-39.pyc,__pycache__,file,16246
_parser.py,tomli,file,22415
_re.py,tomli,file,2681
__init__.py,tomli,file,230
__pycache__,tomli,directory,19063
_parser.cpython-39.pyc,__pycache__,file,16321
_re.cpython-39.pyc,__pycache__,file,2396
__init__.cpython-39.pyc,__pycache__,file,346
connection.py,urllib3,file,20080
connectionpool.py,urllib3,file,37587
exceptions.py,urllib3,file,8217
fields.py,urllib3,file,8579
filepost.py,urllib3,file,2440
poolmanager.py,urllib3,file,19763
request.py,urllib3,file,5985
response.py,urllib3,file,28203
_collections.py,urllib3,file,10811
_version.py,urllib3,file,63
__init__.py,urllib3,file,2763
contrib,urllib3,directory,183010
packages,urllib3,directory,75888
util,urllib3,directory,160582
__pycache__,urllib3,directory,115408
appengine.py,contrib,file,11034
ntlmpool.py,contrib,file,4538
pyopenssl.py,contrib,file,16900
securetransport.py,contrib,file,34449
socks.py,contrib,file,7097
_appengine_environ.py,contrib,file,957
__init__.py,contrib,file,0
_securetransport,contrib,directory,51587
__pycache__,contrib,directory,56448
bindings.py,_securetransport,file,17649
low_level.py,_securetransport,file,13922
__init__.py,_securetransport,file,0
__pycache__,_securetransport,directory,20016
bindings.cpython-39.pyc,__pycache__,file,10690
low_level.cpython-39.pyc,__pycache__,file,9143
__init__.cpython-39.pyc,__pycache__,file,183
appengine.cpython-39.pyc,__pycache__,file,8239
ntlmpool.cpython-39.pyc,__pycache__,file,3593
pyopenssl.cpython-39.pyc,__pycache__,file,15570
securetransport.cpython-39.pyc,__pycache__,file,21892
socks.cpython-39.pyc,__pycache__,file,5602
_appengine_environ.cpython-39.pyc,__pycache__,file,1386
__init__.cpython-39.pyc,__pycache__,file,166
six.py,packages,file,34666
__init__.py,packages,file,108
backports,packages,directory,2869
ssl_match_hostname,packages,directory,10415
__pycache__,packages,directory,27830
makefile.py,backports,file,1417
__init__.py,backports,file,0
__pycache__,backports,directory,1452
makefile.cpython-39.pyc,__pycache__,file,1275
__init__.cpython-39.pyc,__pycache__,file,177
_implementation.py,ssl_match_hostname,file,5679
__init__.py,ssl_match_hostname,file,927
__pycache__,ssl_match_hostname,directory,3809
_implementation.cpython-39.pyc,__pycache__,file,3270
__init__.cpython-39.pyc,__pycache__,file,539
six.cpython-39.pyc,__pycache__,file,27550
__init__.cpython-39.pyc,__pycache__,file,280
connection.py,util,file,4920
proxy.py,util,file,1605
queue.py,util,file,498
request.py,util,file,4123
response.py,util,file,3510
retry.py,util,file,21391
ssltransport.py,util,file,6931
ssl_.py,util,file,17177
timeout.py,util,file,10003
url.py,util,file,14047
wait.py,util,file,5404
__init__.py,util,file,1155
__pycache__,util,directory,69818
connection.cpython-39.pyc,__pycache__,file,3428
proxy.cpython-39.pyc,__pycache__,file,1312
queue.cpython-39.pyc,__pycache__,file,1031
request.cpython-39.pyc,__pycache__,file,3419
response.cpython-39.pyc,__pycache__,file,2316
retry.cpython-39.pyc,__pycache__,file,15803
ssltransport.cpython-39.pyc,__pycache__,file,7481
ssl_.cpython-39.pyc,__pycache__,file,11300
timeout.cpython-39.pyc,__pycache__,file,8914
url.cpython-39.pyc,__pycache__,file,10639
wait.cpython-39.pyc,__pycache__,file,3099
__init__.cpython-39.pyc,__pycache__,file,1076
connection.cpython-39.pyc,__pycache__,file,13649
connectionpool.cpython-39.pyc,__pycache__,file,24676
exceptions.cpython-39.pyc,__pycache__,file,11613
fields.cpython-39.pyc,__pycache__,file,8128
filepost.cpython-39.pyc,__pycache__,file,2729
poolmanager.cpython-39.pyc,__pycache__,file,15131
request.cpython-39.pyc,__pycache__,file,5592
response.cpython-39.pyc,__pycache__,file,20803
_collections.cpython-39.pyc,__pycache__,file,10751
_version.cpython-39.pyc,__pycache__,file,180
__init__.cpython-39.pyc,__pycache__,file,2156
labels.py,webencodings,file,8979
mklabels.py,webencodings,file,1305
tests.py,webencodings,file,6563
x_user_defined.py,webencodings,file,4307
__init__.py,webencodings,file,10579
__pycache__,webencodings,directory,23040
labels.cpython-39.pyc,__pycache__,file,3804
mklabels.cpython-39.pyc,__pycache__,file,1874
tests.cpython-39.pyc,__pycache__,file,5038
x_user_defined.cpython-39.pyc,__pycache__,file,2634
__init__.cpython-39.pyc,__pycache__,file,9690
distro.cpython-39.pyc,__pycache__,file,38333
pyparsing.cpython-39.pyc,__pycache__,file,240402
six.cpython-39.pyc,__pycache__,file,27475
__init__.cpython-39.pyc,__pycache__,file,2871
__init__.cpython-39.pyc,__pycache__,file,598
__main__.cpython-39.pyc,__pycache__,file,554
entry_points.txt,pip-21.3.1.dist-info,file,125
INSTALLER,pip-21.3.1.dist-info,file,4
LICENSE.txt,pip-21.3.1.dist-info,file,1090
METADATA,pip-21.3.1.dist-info,file,4216
RECORD,pip-21.3.1.dist-info,file,63513
top_level.txt,pip-21.3.1.dist-info,file,4
WHEEL,pip-21.3.1.dist-info,file,92
__init__.py,pkg_resources,file,108382
extern,pkg_resources,directory,5211
tests,pkg_resources,directory,392
_vendor,pkg_resources,directory,656564
__pycache__,pkg_resources,directory,100515
__init__.py,extern,file,2362
__pycache__,extern,directory,2849
__init__.cpython-39.pyc,__pycache__,file,2849
data,tests,directory,392
my-test-package-source,data,directory,392
setup.py,my-test-package-source,file,104
__pycache__,my-test-package-source,directory,288
setup.cpython-39.pyc,__pycache__,file,288
appdirs.py,_vendor,file,24701
pyparsing.py,_vendor,file,232055
__init__.py,_vendor,file,0
packaging,_vendor,directory,177858
__pycache__,_vendor,directory,221950
markers.py,packaging,file,8496
requirements.py,packaging,file,4706
specifiers.py,packaging,file,30964
tags.py,packaging,file,15710
utils.py,packaging,file,4200
version.py,packaging,file,14665
_manylinux.py,packaging,file,11488
_musllinux.py,packaging,file,4378
_structures.py,packaging,file,1629
__about__.py,packaging,file,661
__init__.py,packaging,file,497
__pycache__,packaging,directory,80464
markers.cpython-39.pyc,__pycache__,file,9439
requirements.cpython-39.pyc,__pycache__,file,3960
specifiers.cpython-39.pyc,__pycache__,file,22187
tags.cpython-39.pyc,__pycache__,file,12255
utils.cpython-39.pyc,__pycache__,file,3588
version.cpython-39.pyc,__pycache__,file,13129
_manylinux.cpython-39.pyc,__pycache__,file,7271
_musllinux.cpython-39.pyc,__pycache__,file,4586
_structures.cpython-39.pyc,__pycache__,file,3059
__about__.cpython-39.pyc,__pycache__,file,567
__init__.cpython-39.pyc,__pycache__,file,423
appdirs.cpython-39.pyc,__pycache__,file,20477
pyparsing.cpython-39.pyc,__pycache__,file,201313
__init__.cpython-39.pyc,__pycache__,file,160
__init__.cpython-39.pyc,__pycache__,file,100515
archive_util.py,setuptools,file,7077
build_meta.py,setuptools,file,10536
cli-32.exe,setuptools,file,65536
cli-64.exe,setuptools,file,74752
cli-arm64.exe,setuptools,file,137216
cli.exe,setuptools,file,65536
config.py,setuptools,file,23123
depends.py,setuptools,file,5474
dep_util.py,setuptools,file,949
dist.py,setuptools,file,42989
errors.py,setuptools,file,1555
extension.py,setuptools,file,1684
glob.py,setuptools,file,4873
gui-32.exe,setuptools,file,65536
gui-64.exe,setuptools,file,75264
gui-arm64.exe,setuptools,file,137728
gui.exe,setuptools,file,65536
installer.py,setuptools,file,3824
launch.py,setuptools,file,812
monkey.py,setuptools,file,5217
msvc.py,setuptools,file,50561
namespaces.py,setuptools,file,3093
package_index.py,setuptools,file,39886
py34compat.py,setuptools,file,245
sandbox.py,setuptools,file,14348
script (dev).tmpl,setuptools,file,218
script.tmpl,setuptools,file,138
unicode_utils.py,setuptools,file,941
version.py,setuptools,file,144
wheel.py,setuptools,file,8288
windows_support.py,setuptools,file,714
_deprecation_warning.py,setuptools,file,218
_imp.py,setuptools,file,2392
__init__.py,setuptools,file,7448
command,setuptools,directory,395924
extern,setuptools,directory,5295
_distutils,setuptools,directory,1092801
_vendor,setuptools,directory,905243
__pycache__,setuptools,directory,209735
alias.py,command,file,2381
bdist_egg.py,command,file,16604
bdist_rpm.py,command,file,1182
build_clib.py,command,file,4415
build_ext.py,command,file,13212
build_py.py,command,file,8751
develop.py,command,file,7012
dist_info.py,command,file,960
easy_install.py,command,file,85660
egg_info.py,command,file,26126
install.py,command,file,4906
install_egg_info.py,command,file,2203
install_lib.py,command,file,3875
install_scripts.py,command,file,2593
launcher manifest.xml,command,file,628
py36compat.py,command,file,4946
register.py,command,file,468
rotate.py,command,file,2128
saveopts.py,command,file,658
sdist.py,command,file,6413
setopt.py,command,file,5086
test.py,command,file,8088
upload.py,command,file,462
upload_docs.py,command,file,7218
__init__.py,command,file,217
__pycache__,command,directory,179732
alias.cpython-39.pyc,__pycache__,file,2340
bdist_egg.cpython-39.pyc,__pycache__,file,13006
bdist_rpm.cpython-39.pyc,__pycache__,file,1553
build_clib.cpython-39.pyc,__pycache__,file,2437
build_ext.cpython-39.pyc,__pycache__,file,9796
build_py.cpython-39.pyc,__pycache__,file,8183
develop.cpython-39.pyc,__pycache__,file,6106
dist_info.cpython-39.pyc,__pycache__,file,1364
easy_install.cpython-39.pyc,__pycache__,file,63733
egg_info.cpython-39.pyc,__pycache__,file,22668
install.cpython-39.pyc,__pycache__,file,4154
install_egg_info.cpython-39.pyc,__pycache__,file,2396
install_lib.cpython-39.pyc,__pycache__,file,4103
install_scripts.cpython-39.pyc,__pycache__,file,2391
py36compat.cpython-39.pyc,__pycache__,file,4558
register.cpython-39.pyc,__pycache__,file,814
rotate.cpython-39.pyc,__pycache__,file,2473
saveopts.cpython-39.pyc,__pycache__,file,892
sdist.cpython-39.pyc,__pycache__,file,6861
setopt.cpython-39.pyc,__pycache__,file,4643
test.cpython-39.pyc,__pycache__,file,7998
upload.cpython-39.pyc,__pycache__,file,787
upload_docs.cpython-39.pyc,__pycache__,file,6130
__init__.cpython-39.pyc,__pycache__,file,346
__init__.py,extern,file,2407
__pycache__,extern,directory,2888
__init__.cpython-39.pyc,__pycache__,file,2888
archive_util.py,_distutils,file,8572
bcppcompiler.py,_distutils,file,14894
ccompiler.py,_distutils,file,47644
cmd.py,_distutils,file,18079
config.py,_distutils,file,4827
core.py,_distutils,file,8876
cygwinccompiler.py,_distutils,file,16938
debug.py,_distutils,file,139
dep_util.py,_distutils,file,3491
dir_util.py,_distutils,file,7778
dist.py,_distutils,file,50421
errors.py,_distutils,file,3577
extension.py,_distutils,file,10515
fancy_getopt.py,_distutils,file,17784
filelist.py,_distutils,file,13407
file_util.py,_distutils,file,8148
log.py,_distutils,file,1969
msvc9compiler.py,_distutils,file,30453
msvccompiler.py,_distutils,file,23540
py35compat.py,_distutils,file,455
py38compat.py,_distutils,file,212
spawn.py,_distutils,file,3498
sysconfig.py,_distutils,file,21630
text_file.py,_distutils,file,12483
unixccompiler.py,_distutils,file,14538
util.py,_distutils,file,20375
version.py,_distutils,file,12514
versionpredicate.py,_distutils,file,5133
_msvccompiler.py,_distutils,file,20813
__init__.py,_distutils,file,250
command,_distutils,directory,420163
__pycache__,_distutils,directory,269685
bdist.py,command,file,5562
bdist_dumb.py,command,file,4913
bdist_msi.py,command,file,35579
bdist_rpm.py,command,file,21537
bdist_wininst.py,command,file,16030
build.py,command,file,5773
build_clib.py,command,file,8022
build_ext.py,command,file,31683
build_py.py,command,file,16495
build_scripts.py,command,file,5963
check.py,command,file,5637
clean.py,command,file,2776
config.py,command,file,13117
install.py,command,file,27935
install_data.py,command,file,2822
install_egg_info.py,command,file,2603
install_headers.py,command,file,1298
install_lib.py,command,file,8397
install_scripts.py,command,file,2017
py37compat.py,command,file,671
register.py,command,file,11712
sdist.py,command,file,19005
upload.py,command,file,7597
__init__.py,command,file,799
__pycache__,command,directory,162220
bdist.cpython-39.pyc,__pycache__,file,3632
bdist_dumb.cpython-39.pyc,__pycache__,file,3615
bdist_msi.cpython-39.pyc,__pycache__,file,19797
bdist_rpm.cpython-39.pyc,__pycache__,file,12252
bdist_wininst.cpython-39.pyc,__pycache__,file,8572
build.cpython-39.pyc,__pycache__,file,3904
build_clib.cpython-39.pyc,__pycache__,file,4827
build_ext.cpython-39.pyc,__pycache__,file,16239
build_py.cpython-39.pyc,__pycache__,file,9822
build_scripts.cpython-39.pyc,__pycache__,file,3987
check.cpython-39.pyc,__pycache__,file,4936
clean.cpython-39.pyc,__pycache__,file,2109
config.cpython-39.pyc,__pycache__,file,10239
install.cpython-39.pyc,__pycache__,file,14202
install_data.cpython-39.pyc,__pycache__,file,2312
install_egg_info.cpython-39.pyc,__pycache__,file,3047
install_headers.cpython-39.pyc,__pycache__,file,1737
install_lib.cpython-39.pyc,__pycache__,file,5109
install_scripts.cpython-39.pyc,__pycache__,file,2160
py37compat.cpython-39.pyc,__pycache__,file,1003
register.cpython-39.pyc,__pycache__,file,8480
sdist.cpython-39.pyc,__pycache__,file,14507
upload.cpython-39.pyc,__pycache__,file,5230
__init__.cpython-39.pyc,__pycache__,file,502
archive_util.cpython-39.pyc,__pycache__,file,6614
bcppcompiler.cpython-39.pyc,__pycache__,file,6525
ccompiler.cpython-39.pyc,__pycache__,file,33431
cmd.cpython-39.pyc,__pycache__,file,13953
config.cpython-39.pyc,__pycache__,file,3556
core.cpython-39.pyc,__pycache__,file,6681
cygwinccompiler.cpython-39.pyc,__pycache__,file,8761
debug.cpython-39.pyc,__pycache__,file,223
dep_util.cpython-39.pyc,__pycache__,file,2743
dir_util.cpython-39.pyc,__pycache__,file,5844
dist.cpython-39.pyc,__pycache__,file,34414
errors.cpython-39.pyc,__pycache__,file,5279
extension.cpython-39.pyc,__pycache__,file,6944
fancy_getopt.cpython-39.pyc,__pycache__,file,10652
filelist.cpython-39.pyc,__pycache__,file,10802
file_util.cpython-39.pyc,__pycache__,file,6010
log.cpython-39.pyc,__pycache__,file,2342
msvc9compiler.cpython-39.pyc,__pycache__,file,17539
msvccompiler.cpython-39.pyc,__pycache__,file,14734
py35compat.cpython-39.pyc,__pycache__,file,599
py38compat.cpython-39.pyc,__pycache__,file,394
spawn.cpython-39.pyc,__pycache__,file,2870
sysconfig.cpython-39.pyc,__pycache__,file,12554
text_file.cpython-39.pyc,__pycache__,file,8468
unixccompiler.cpython-39.pyc,__pycache__,file,6816
util.cpython-39.pyc,__pycache__,file,14208
version.cpython-39.pyc,__pycache__,file,7368
versionpredicate.cpython-39.pyc,__pycache__,file,5152
_msvccompiler.cpython-39.pyc,__pycache__,file,13782
__init__.cpython-39.pyc,__pycache__,file,427
ordered_set.py,_vendor,file,15130
pyparsing.py,_vendor,file,232055
__init__.py,_vendor,file,0
more_itertools,_vendor,directory,262430
packaging,_vendor,directory,177810
__pycache__,_vendor,directory,217818
more.py,more_itertools,file,117968
recipes.py,more_itertools,file,16256
__init__.py,more_itertools,file,82
__pycache__,more_itertools,directory,128124
more.cpython-39.pyc,__pycache__,file,109983
recipes.cpython-39.pyc,__pycache__,file,17903
__init__.cpython-39.pyc,__pycache__,file,238
markers.py,packaging,file,8493
requirements.py,packaging,file,4700
specifiers.py,packaging,file,30964
tags.py,packaging,file,15710
utils.py,packaging,file,4200
version.py,packaging,file,14665
_manylinux.py,packaging,file,11488
_musllinux.py,packaging,file,4378
_structures.py,packaging,file,1629
__about__.py,packaging,file,661
__init__.py,packaging,file,497
__pycache__,packaging,directory,80425
markers.cpython-39.pyc,__pycache__,file,9433
requirements.cpython-39.pyc,__pycache__,file,3954
specifiers.cpython-39.pyc,__pycache__,file,22184
tags.cpython-39.pyc,__pycache__,file,12252
utils.cpython-39.pyc,__pycache__,file,3585
version.cpython-39.pyc,__pycache__,file,13126
_manylinux.cpython-39.pyc,__pycache__,file,7268
_musllinux.cpython-39.pyc,__pycache__,file,4583
_structures.cpython-39.pyc,__pycache__,file,3056
__about__.cpython-39.pyc,__pycache__,file,564
__init__.cpython-39.pyc,__pycache__,file,420
ordered_set.cpython-39.pyc,__pycache__,file,16351
pyparsing.cpython-39.pyc,__pycache__,file,201310
__init__.cpython-39.pyc,__pycache__,file,157
archive_util.cpython-39.pyc,__pycache__,file,5783
build_meta.cpython-39.pyc,__pycache__,file,9378
config.cpython-39.pyc,__pycache__,file,20795
depends.cpython-39.pyc,__pycache__,file,5218
dep_util.cpython-39.pyc,__pycache__,file,826
dist.cpython-39.pyc,__pycache__,file,36413
errors.cpython-39.pyc,__pycache__,file,1471
extension.cpython-39.pyc,__pycache__,file,1913
glob.cpython-39.pyc,__pycache__,file,3663
installer.cpython-39.pyc,__pycache__,file,2968
launch.cpython-39.pyc,__pycache__,file,870
monkey.cpython-39.pyc,__pycache__,file,4582
msvc.cpython-39.pyc,__pycache__,file,42808
namespaces.cpython-39.pyc,__pycache__,file,3569
package_index.cpython-39.pyc,__pycache__,file,32605
py34compat.cpython-39.pyc,__pycache__,file,449
sandbox.cpython-39.pyc,__pycache__,file,15725
unicode_utils.cpython-39.pyc,__pycache__,file,1083
version.cpython-39.pyc,__pycache__,file,293
wheel.cpython-39.pyc,__pycache__,file,7249
windows_support.cpython-39.pyc,__pycache__,file,992
_deprecation_warning.cpython-39.pyc,__pycache__,file,519
_imp.cpython-39.pyc,__pycache__,file,2054
__init__.cpython-39.pyc,__pycache__,file,8509
entry_points.txt,setuptools-59.1.0.dist-info,file,2636
INSTALLER,setuptools-59.1.0.dist-info,file,4
LICENSE,setuptools-59.1.0.dist-info,file,1050
METADATA,setuptools-59.1.0.dist-info,file,4977
RECORD,setuptools-59.1.0.dist-info,file,23044
top_level.txt,setuptools-59.1.0.dist-info,file,41
WHEEL,setuptools-59.1.0.dist-info,file,92
override.py,_distutils_hack,file,44
__init__.py,_distutils_hack,file,3688
__pycache__,_distutils_hack,directory,5279
override.cpython-39.pyc,__pycache__,file,205
__init__.cpython-39.pyc,__pycache__,file,5074
activate,Scripts,file,1965
activate.bat,Scripts,file,957
Activate.ps1,Scripts,file,19408
deactivate.bat,Scripts,file,368
pip.exe,Scripts,file,106350
pip3.9.exe,Scripts,file,106350
pip3.exe,Scripts,file,106350
python.exe,Scripts,file,543464
pythonw.exe,Scripts,file,542440
